movie_name,category,movie_rate,description,country,date,duration,movie_link
The Bikeriders,"Crime, Drama",7.2,"After a chance encounter, headstrong Kathy is drawn to Benny, member of Midwestern motorcycle club the Vandals. As the club transforms into a dangerous underworld of violence, Benny must choose between Kathy and his loyalty to the club.",United States of America,2024,116min,https://goku.sx/movie/watch-the-bikeriders-110554
Kingdom of the Planet of the Apes,"Science Fiction, Adventure, Action",7.2,"Several generations in the future following Caesar's reign, apes are now the dominant species and live harmoniously while humans have been reduced to living in the shadows. As a new tyrannical ape leader builds his empire, one young ape undertakes a harrowing journey that will cause him to question all that he has known about the past and to make choices that will define a future for apes and humans alike.",United States of America,2024,145min,https://goku.sx/movie/watch-kingdom-of-the-planet-of-the-apes-108877
Space Cadet,"Comedy, Romance",4.9,"Tiffany ""Rex"" Simpson has always dreamed of going to space, and her ""doctored"" application lands her in NASA's ultra-competitive astronaut training program. In over her head, can this Florida girl rely on her quick wits, moxie and determination to get through training and into the cosmos before she blows her cover?",United States of America,2024,110min,https://goku.sx/movie/watch-space-cadet-110992
Beverly Hills Cop: Axel F,"Action, Comedy, Crime",?,"After his daughter's life is threatened, wisecracking detective Axel Foley teams up with a new partner and some old pals to turn up the heat on a conspiracy.",United States of America,2024,115min,https://goku.sx/movie/watch-beverly-hills-cop-4-41468
Babes,Comedy,6.6,"After getting pregnant from a one-night stand, a single woman leans on her married best friend and mother of two to guide her through gestation and beyond.",United States of America,2024,107min,https://goku.sx/movie/watch-babes-110878
Boneyard,"Action, Thriller",5.2,"An FBI special agent and the Albuquerque police department hunt for a serial killer nicknamed The Bone Collector. The chief of police and one of his officers, however, believe someone in the department may be the killer.",United States of America,2024,96min,https://goku.sx/movie/watch-boneyard-110875
Rock the Boat 2,Thriller,5.2,"After losing her tragic past memories, Millie tries to move on but chaos surrounds her and her friends, leaving them terrified.",United States of America,2024,85min,https://goku.sx/movie/watch-rock-the-boat-2-110872
Rocky Road to Berlin,"Comedy, Adventure",7.6,"The story of the novice musician Kuzma. Three days before the planned concert he goes with his friend Bard to Berlin for the old car ""Pobeda"". It is said that there is a collector ready to exchange the yellow beast for the Mercedes-Benz W140 (called as ""Mers""). Kuzma promises his girlfriend Barbara to return home in a new car, and the guys from the band - to have time to perform. From the first minutes of the trip, of course, everything goes wrong. However, one thing is certain: the adventure will help the heroes find their true purpose.",N/A,2024,100min,https://goku.sx/movie/watch-rocky-road-to-berlin-110845
Hoard,Drama,6.8,Hoard is a tale of mother and daughter; it follows Maria first as a child in their loving routines; their nidus of joy full of catalogues of love. Both like magpies you see. Then as an 18-year-old navigating the past as it pays a visit; when a box of mother returns and a man called Michael comes to stay. The shimmering memories that she once suppressed begin to haunt her; as grief never really heals does it? It simply disguises itself in things.,United Kingdom,2024,126min,https://goku.sx/movie/watch-hoard-110842
The Piper,Horror,4.5,"When a composer must finish her late mentor's concerto, she discovers that playing its music summons deadly consequences.",United States of America,2023,95min,https://goku.sx/movie/watch-the-piper-110839
Reverse the Curse,"Comedy, Drama",6.7,"Follows Ted, an aimless thirtysomething who moves in with his father Marty when he develops a fatal illness. Marty’s health suffers every time the Boston Red Sox lose, so to keep him happy and alive, Ted enlists Marty’s grief counselor Mariana and friends to fake a Red Sox winning streak.",United States of America,2024,105min,https://goku.sx/movie/watch-reverse-the-curse-110836
Juanpis González: The People's President,Action,6.5,"When a spoiled Colombian snob becomes president through money and connections, he finds staying in power takes more than he expected.",Japan,2024,91min,https://goku.sx/movie/watch-juanpis-gonzalez-the-peoples-president-110827
